2015-05-26 21:00:20,390 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-rest\src\test\resources
2015-05-26 21:00:45,500 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-rest:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-rest\pom.xml.
2015-05-26 21:00:45,781 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:45,781 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-26 21:00:45,781 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:00:45,781 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\dev\priva\TeamTool\tt-rest\src\test\resources
2015-05-26 21:00:45,781 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of tt-rest
2015-05-26 21:00:45,797 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for tt-rest
2015-05-26 21:00:45,797 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2015-05-26 21:01:19,847 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.samuk.teamtool:parent:0.0.1-SNAPSHOT @ C:\dev\priva\TeamTool\parent\pom.xml.
2015-05-26 21:01:19,925 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.samuk.teamtool:tt-orm:1.0-SNAPSHOT @ C:\dev\priva\TeamTool\tt-orm\pom.xml.
